A	15296	7.96
C	7698	4.00
B	7633	3.97
E	10545	5.49
D	7843	4.08
G	6985	3.63
F	5720	2.98
I	8606	4.48
H	7256	3.77
K	6534	3.40
J	5651	2.94
M	8677	4.51
L	9025	4.70
O	7726	4.02
N	9429	4.91
Q	3751	1.95
P	6677	3.47
S	10770	5.60
R	8919	4.64
U	5700	2.97
T	8392	4.37
W	5173	2.69
V	4459	2.32
Y	5147	2.68
X	4162	2.17
Z	4442	2.31
